Accession,Organism_Name,Species,Isolate,Segment,Length,Nuc_Completeness,Country,Host,Collection_Date
PQ753147,Rift Valley fever virus,Phlebovirus riftense,RW004,L,494,partial,Rwanda,Anopheles ziemanni,2022-04-27
PQ753148,Rift Valley fever virus,Phlebovirus riftense,RW006,L,494,partial,Rwanda,Anopheles gambiae,2022-05-04
PQ753149,Rift Valley fever virus,Phlebovirus riftense,RW089,L,494,partial,Rwanda,Culex quinquefasciatus,2022-05-26
PQ753150,Rift Valley fever virus,Phlebovirus riftense,RW627,L,494,partial,Rwanda,Culex quinquefasciatus,2022-05-17
PQ753151,Rift Valley fever virus,Phlebovirus riftense,RW003,M,551,partial,Rwanda,Anopheles ziemanni,2022-04-26
PQ753152,Rift Valley fever virus,Phlebovirus riftense,RW004,M,551,partial,Rwanda,Anopheles ziemanni,2022-04-27
PQ753153,Rift Valley fever virus,Phlebovirus riftense,RW006,M,551,partial,Rwanda,Anopheles gambiae,2022-05-04
PQ753154,Rift Valley fever virus,Phlebovirus riftense,RW089,M,551,partial,Rwanda,Culex quinquefasciatus,2022-05-26
PQ753155,Rift Valley fever virus,Phlebovirus riftense,RW627,M,551,partial,Rwanda,Culex quinquefasciatus,2022-05-17
PP747229,Rift Valley fever virus,Phlebovirus riftense,08HAB,L,6253,partial,Kenya,Bos taurus,2018-01-01
PP747230,Rift Valley fever virus,Phlebovirus riftense,AM-M1,L,6232,partial,Kenya,Bos taurus,2021-01-16
PP747231,Rift Valley fever virus,Phlebovirus riftense,Rwanda2018NG10,L,6277,partial,Rwanda,Bos taurus,2018-01-01
PP747232,Rift Valley fever virus,Phlebovirus riftense,Rwanda2018RU1-SE,L,6232,partial,Rwanda,Bos taurus,2018-01-01
PP747233,Rift Valley fever virus,Phlebovirus riftense,Rwanda2018RU1,L,6256,partial,Rwanda,Bos taurus,2018-01-01
PP747234,Rift Valley fever virus,Phlebovirus riftense,08HAB,M,3840,partial,Kenya,Bos taurus,2018-01-01
PP747235,Rift Valley fever virus,Phlebovirus riftense,AM-M1,M,3840,partial,Kenya,Bos taurus,2021-01-16
PP747236,Rift Valley fever virus,Phlebovirus riftense,Rwanda2018NG10,M,3840,partial,Rwanda,Bos taurus,2018-01-01
PP747237,Rift Valley fever virus,Phlebovirus riftense,Rwanda2018RU1-SE,M,3840,partial,Rwanda,Bos taurus,2018-01-01
PP747238,Rift Valley fever virus,Phlebovirus riftense,Rwanda2018RU1,M,3840,partial,Rwanda,Bos taurus,2018-01-01
PP747239,Rift Valley fever virus,Phlebovirus riftense,08HAB,S,1606,partial,Kenya,Bos taurus,2018-01-01
PP747240,Rift Valley fever virus,Phlebovirus riftense,AM-M1,S,1599,partial,Kenya,Bos taurus,2021-01-16
PP747241,Rift Valley fever virus,Phlebovirus riftense,Rwanda2018NG10,S,1612,partial,Rwanda,Bos taurus,2018-01-01
PP747242,Rift Valley fever virus,Phlebovirus riftense,Rwanda2018RU1-SE,S,1614,partial,Rwanda,Bos taurus,2018-01-01
PP747243,Rift Valley fever virus,Phlebovirus riftense,Rwanda2018RU1,S,1636,partial,Rwanda,Bos taurus,2018-01-01
PQ436077,Rift Valley fever virus,Phlebovirus riftense,CD300/Kabale1-2022,S,1580,partial,Uganda,Homo sapiens,2022-03-10
PQ436078,Rift Valley fever virus,Phlebovirus riftense,CD301/Rubanda1-2022,S,1581,partial,Uganda,Homo sapiens,2022-04-10
PQ436079,Rift Valley fever virus,Phlebovirus riftense,CD304/Rubanda2-2023,S,1589,partial,Uganda,Homo sapiens,2023-02-01
PQ436080,Rift Valley fever virus,Phlebovirus riftense,CD532/Isingiro1-2023,S,1275,partial,Uganda,Homo sapiens,2023-01-30
PQ436081,Rift Valley fever virus,Phlebovirus riftense,CD300/Kabale1-2022,M,3404,partial,Uganda,Homo sapiens,2022-03-10
PQ436082,Rift Valley fever virus,Phlebovirus riftense,CD301/Rubanda1-2022,M,3815,partial,Uganda,Homo sapiens,2022-04-10
PQ436083,Rift Valley fever virus,Phlebovirus riftense,CD304/Rubanda2-2023,M,3761,partial,Uganda,Homo sapiens,2023-02-01
PQ436084,Rift Valley fever virus,Phlebovirus riftense,CD532/Isingiro1-2023,M,3404,partial,Uganda,Homo sapiens,2023-01-30
PQ436085,Rift Valley fever virus,Phlebovirus riftense,CD300/Kabale1-2022,L,5850,partial,Uganda,Homo sapiens,2022-03-10
PQ436086,Rift Valley fever virus,Phlebovirus riftense,CD301/Rubanda1-2022,L,6308,partial,Uganda,Homo sapiens,2022-04-10
PQ436087,Rift Valley fever virus,Phlebovirus riftense,CD304/Rubanda2-2023,L,6228,partial,Uganda,Homo sapiens,2023-02-01
PQ436088,Rift Valley fever virus,Phlebovirus riftense,CD532/Isingiro1-2023,L,5834,partial,Uganda,Homo sapiens,2023-01-30
PP541453,Rift Valley fever virus,Phlebovirus riftense,SH409226,L,6315,complete,Senegal,Homo sapiens,2022-11-11
PP541454,Rift Valley fever virus,Phlebovirus riftense,SH409226,M,3885,partial,Senegal,Homo sapiens,2022-11-11
PP541455,Rift Valley fever virus,Phlebovirus riftense,SH409226,S,1671,partial,Senegal,Homo sapiens,2022-11-11
PP541456,Rift Valley fever virus,Phlebovirus riftense,SH409425,L,6397,partial,Senegal,Homo sapiens,2022-11-11
PP541457,Rift Valley fever virus,Phlebovirus riftense,SH409425,M,3885,partial,Senegal,Homo sapiens,2022-11-17
PP541458,Rift Valley fever virus,Phlebovirus riftense,SH409425,S,1671,partial,Senegal,Homo sapiens,2022-11-17
PP746304,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P1,L,6111,partial,Rwanda,Bos taurus,2022-06-01
PP746305,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P100,L,5924,partial,Rwanda,Bos taurus,2022-07-31
PP746306,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P102,L,5924,partial,Rwanda,Bos taurus,2022-08-05
PP746307,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P103,L,5924,partial,Rwanda,Bos taurus,2022-08-08
PP746308,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P104,L,5924,partial,Rwanda,Bos taurus,2022-08-08
PP746309,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P11,L,5924,partial,Rwanda,Bos taurus,2022-06-09
PP746310,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P110,L,5924,partial,Rwanda,Bos taurus,2022-09-12
PP746311,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P116,L,5936,partial,Rwanda,Bos taurus,2022-07-01
PP746312,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P120,L,5937,partial,Rwanda,Ovis aries,2022-07-08
PP746313,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P13,L,6165,partial,Rwanda,Bos taurus,2022-06-08
PP746314,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P2,L,5924,partial,Rwanda,Bos taurus,2022-06-07
PP746315,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P23,L,6243,partial,Rwanda,Bos taurus,2022-06-13
PP746316,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P26,L,5924,partial,Rwanda,Bos taurus,2022-06-11
PP746317,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P302,L,5924,partial,Rwanda,Bos taurus,2022-06-04
PP746318,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P319,L,5924,partial,Rwanda,Bos taurus,2022-08-25
PP746319,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P323,L,6232,partial,Rwanda,Bos taurus,2022-09-02
PP746320,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P326,L,6261,partial,Rwanda,Bos taurus,2022-09-28
PP746321,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P33,L,5924,partial,Rwanda,Bos taurus,2022-06-25
PP746322,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P35,L,6232,partial,Rwanda,Bos taurus,2022-06-17
PP746323,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P4,L,5924,partial,Rwanda,Bos taurus,2022-06-07
PP746324,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P40,L,5936,partial,Rwanda,Bos taurus,2022-07-03
PP746325,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P45,L,5936,partial,Rwanda,Bos taurus,2022-06-17
PP746326,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P47,L,6234,partial,Rwanda,Bos taurus,2022-06-09
PP746327,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P5,L,5924,partial,Rwanda,Bos taurus,2022-06-03
PP746328,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P55,L,6222,partial,Rwanda,Bos taurus,2022-06-12
PP746329,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P61,L,5936,partial,Rwanda,Bos taurus,2022-06-22
PP746330,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P66,L,5924,partial,Rwanda,Bos taurus,2022-06-22
PP746331,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P67,L,6221,partial,Rwanda,Bos taurus,2022-06-18
PP746332,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P68,L,6243,partial,Rwanda,Bos taurus,2022-06-18
PP746333,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P69,L,5924,partial,Rwanda,Bos taurus,2022-06-13
PP746334,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P7,L,5924,partial,Rwanda,Bos taurus,2022-06-09
PP746335,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P73,L,6106,partial,Rwanda,Ovis aries,2022-07-03
PP746336,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P76,L,6223,partial,Rwanda,Bos taurus,2022-06-27
PP746337,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P80,L,6247,partial,Rwanda,Bos taurus,2022-06-28
PP746338,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P86,L,5924,partial,Rwanda,Bos taurus,2022-06-28
PP746339,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P90,L,5924,partial,Rwanda,Bos taurus,2022-07-09
PP746340,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P91,L,5924,partial,Rwanda,Bos taurus,2022-07-09
PP746341,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P99,L,5924,partial,Rwanda,Bos taurus,2022-07-29
PP746342,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P1,M,3513,partial,Rwanda,Bos taurus,2022-06-01
PP746343,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P100,M,3561,partial,Rwanda,Bos taurus,2022-07-31
PP746344,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P102,M,3534,partial,Rwanda,Bos taurus,2022-08-05
PP746345,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P103,M,3541,partial,Rwanda,Bos taurus,2022-08-08
PP746346,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P104,M,3570,partial,Rwanda,Bos taurus,2022-08-08
PP746347,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P11,M,3606,partial,Rwanda,Bos taurus,2022-06-09
PP746348,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P110,M,3567,partial,Rwanda,Bos taurus,2022-09-12
PP746349,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P116,M,3587,partial,Rwanda,Bos taurus,2022-07-01
PP746350,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P13,M,3774,partial,Rwanda,Bos taurus,2022-06-08
PP746351,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P2,M,3517,partial,Rwanda,Bos taurus,2022-06-07
PP746352,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P23,M,3847,partial,Rwanda,Bos taurus,2022-06-13
PP746353,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P26,M,3561,partial,Rwanda,Bos taurus,2022-06-11
PP746354,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P302,M,3541,partial,Rwanda,Bos taurus,2022-06-04
PP746355,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P319,M,3796,partial,Rwanda,Bos taurus,2022-08-25
PP746356,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P326,M,3587,partial,Rwanda,Bos taurus,2022-09-28
PP746357,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P33,M,3513,partial,Rwanda,Bos taurus,2022-06-25
PP746358,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P35,M,3840,partial,Rwanda,Bos taurus,2022-06-17
PP746359,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P4,M,3513,partial,Rwanda,Bos taurus,2022-06-07
PP746360,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P40,M,3558,partial,Rwanda,Bos taurus,2022-07-03
PP746361,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P45,M,3731,partial,Rwanda,Bos taurus,2022-06-17
PP746362,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P47,M,3840,partial,Rwanda,Bos taurus,2022-06-09
PP746363,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P5,M,3513,partial,Rwanda,Bos taurus,2022-06-03
PP746364,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P55,M,3568,partial,Rwanda,Bos taurus,2022-06-12
PP746365,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P61,M,3571,partial,Rwanda,Bos taurus,2022-06-22
PP746366,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P66,M,3840,partial,Rwanda,Bos taurus,2022-06-22
PP746367,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P67,M,3596,partial,Rwanda,Bos taurus,2022-06-18
PP746368,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P69,M,3513,partial,Rwanda,Bos taurus,2022-06-13
PP746369,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P7,M,3529,partial,Rwanda,Bos taurus,2022-06-09
PP746370,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P71,M,3513,partial,Rwanda,Bos taurus,2022-06-14
PP746371,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P73,M,3561,partial,Rwanda,Ovis aries,2022-07-03
PP746372,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P76,M,3858,partial,Rwanda,Bos taurus,2022-06-27
PP746373,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P80,M,3829,partial,Rwanda,Bos taurus,2022-06-28
PP746374,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P85,M,3513,partial,Rwanda,Bos taurus,2022-06-28
